tammi-helmi,Wolt,"€15,00",take away
,Prisma,"€39,90",muu
,Zalando,"€28,15",vaatteet
,Tokmanni Lielahti,"€19,95",vaatteet
,Amazon,"€5,96",kirjat
,Suomalainen Kirjakauppa,"€18,90",kirjat
,Amazon,"€9,53",kirjat
,Elisa Kirja,"€6,90",kirjat
,Amazon,"€3,98",kirjat
helmi-maalis,Prisma Lielahti,"€40,00",muu
,Amazon,"€1,80",kirjat
,Vaatemyynti.fi,"€30,60",vaatteet
,Amazon,"€1,99",kirjat
,Qwertee,"€26,00",vaatteet
,Adlibris,"€22,80",kirjat
,Amazon,"€5,96",kirjat
,Budget Sport,"€25,65",vaatteet
,Amazon,"€5,04",kirjat
,Amazon,"€17,36",kirjat
,Wolt,"€15,00",take away
,CDON,"€20,90",viihde
,GOG,"€2,69",pelit
,Amazon,"€1,07",kirjat
,Amazon,"€2,05",kirjat
,Suomalainen Kirjakauppa,"€19,80",kirjat
,Amazon,"€3,09",kirjat
,Amazon,"€3,09",kirjat
,GOG,"€2,09",pelit
maalis-huhti,Prisma Lielahti,"€49,90",elektroniikka
,GoMore,"€40,00",auton vuokraus
,Amazon,"€7,15",kirjat
,inkClub,"€31,09",elektroniikka
,Zalando,"€18,15",vaatteet
,Puuilo,"€37,39",taloustavarat
,Amazon,"€2,05",kirjat
,K-Rauta Lielahti,"€7,90",rautakauppa
,Elisa Kirja,"€36,90",kirjat
,Adlibris,"€17,90",kirjat
,H&M,"€12,98",vaatteet
,Amazon,"€3,07",kirjat
huhti-touko,Qwertee,"€9,00",vaatteet
,Elisa Kirja,"€25,52",kirjat
,Prisma Lielahti kampaamo,"€55,40",kampaaja
,Zalando,"€27,15",vaatteet
,Amazon,"€8,45",kirjat
,Amazon,"€5,36",kirjat
,Prisma Lielahti,"€14,95",vaatteet
,ABC Teivo,"€5,95",muu
,Amazon,"€2,70",kirjat
,Musti ja Mirri Lielahti,"€26,99",lemmikkitarvikkeet
touko-kesä,Tokmanni Juva,"€26,76",taloustavarat
,Q-Point,"€31,80",sisustustarvikkeet
,Zooplus,"€76,98",lemmikkitarvikkeet
,Amazon,"€2,14",kirjat
,Musti ja Mirri Lielahti,"€29,99",lemmikkitarvikkeet
,Prisma,"€20,90",taloustavarat
,Suomalainen Kirjakauppa,"€29,80",paperitarvikkeet
,Adlibris,"€6,80",kirjat
,Packt,"€10,00",kirjat
,Verkkokauppa.com,"€23,89",elektroniikka
,Tokmanni,"€16,85",elektroniikka
,Suomalainen Kirjakauppa,"€18,90",kirjat
,Amazon,"€3,17",kirjat
,eBay,"€11,63",elektroniikka
,Amazon,"€13,90",kirjat
,Zalando,"€13,95",vaatteet
