tammi-helmi,Prisma Lielahti,"8,59 €",ruokakauppa
,Food & Co Tulli,"1,60 €",muu
,Prisma Lielahti,"5,33 €",ruokakauppa
,Hua Du,"4,20 €",ulkona syöminen
,K-Market Tullintori,"6,10 €",ruokakauppa
,Prisma Lielahti,"37,25 €",ruokakauppa
,Prisma Lielahti,"9,61 €",ruokakauppa
,R-Kioski Lielahti,"5,00 €",kahvit
,Prisma Lielahti,"10,88 €",ruokakauppa
,Prisma Lielahti,"29,48 €",ruokakauppa
,Kotipizza Lielahti,"22,10 €",take away
,Musti ja Mirri Lielahti,"9,99 €",lemmikkitarvikkeet
,Prisma Lielahti,"13,31 €",ruokakauppa
,Prisma Lielahti,"13,98 €",ruokakauppa
,Kebab Pizzeria Snupi,"12,70 €",take away
,Vihreä Vuohi,"10,30 €",kahvit
,Prisma Lielahti,"15,07 €",ruokakauppa
,Prisma Lielahti,"11,87 €",ruokakauppa
,Prisma Lielahti,"19,05 €",ruokakauppa
,Ravintola Vaski,"5,75 €",ulkona syöminen
,Prisma Lielahti,"18,85 €",ruokakauppa
,Vihreä Vuohi,"10,30 €",kahvit
,Prisma Lielahti,"14,58 €",ruokakauppa
,K-Market Pohtola,"13,07 €",ruokakauppa
,Prisma Lielahti,"10,91 €",ruokakauppa
,S-Market Hyhky,"9,15 €",ruokakauppa
,Prisma Lielahti,"8,52 €",ruokakauppa
,Prisma Lielahti,"6,49 €",ruokakauppa
,Sale Haukiluoma,"10,05 €",ruokakauppa
,Prisma Lielahti,"19,69 €",ruokakauppa
,Prisma Lielahti,"11,99 €",ruokakauppa
,K-Market Pohtola,"7,62 €",ruokakauppa
,K-Market Pohtola,"10,88 €",ruokakauppa
,Prisma Lielahti,"14,05 €",ruokakauppa
,Hua Du,"13,00 €",take away
,Prisma Lielahti,"16,42 €",ruokakauppa
,Prisma Lielahti,"3,39 €",ruokakauppa
,K-Market Pohtola,"2,09 €",ruokakauppa
helmi-maalis,Prisma Lielahti,"14,29 €",ruokakauppa
,Prisma Lielahti,"19,56 €",ruokakauppa
,Siipiweikot Tampella,"24,15 €",take away
,McDonald's Lielahti,"13,95 €",take away
,Prisma Lielahti,"12,90 €",ruokakauppa
,Prisma Lielahti,"6,07 €",ruokakauppa
,Prisma Lielahti,"15,87 €",ruokakauppa
,R-Kioski Lielahti,"5,00 €",kahvit
,Prisma Lielahti,"7,83 €",ruokakauppa
,Sale Hallila,"5,78 €",ruokakauppa
,Prisma Lielahti,"18,90 €",ruokakauppa
,K-Market Pohtola,"8,73 €",ruokakauppa
,Prisma Lielahti,"12,40 €",ruokakauppa
,Vihreä Vuohi,"10,30 €",kahvit
,Prisma Lielahti,"14,99 €",ruokakauppa
