29.-31.3.,,,,,
29.3.,Hese Hämeenkatu,€7.90,ulkona syöminen,YHT.,Vko max
,CM Linnainmaa,€23.25,ruokakauppa,€76.72,€42.86
,R-Kioski Linnainmaa,€3.30,kahvit,JÄLJ.,
31.3.,Musti ja Mirri,€15.08,lemmikkitarvikkeet,-€33.86,
,Prisma Linnainmaa,€9.99,ruokakauppa,,
,Hese Linnainmaa,€3.20,kahvit,,
,Linnainmaan Pika Pizza,€14.00,ulkona syöminen,,
,,,,,
1.4.-7.4.,,,,,
,erotus,€33.86,erotus,YHT.,Vko max
1.4.,K-Market Mestari,€3.59,ruokakauppa,€119.56,€100.00
,Prisma Linnainmaa,€29.86,ruokakauppa,JÄLJ.,
,Posti Linnainmaa,€1.80,posti,-€19.56,
,Oksa Linnainmaa,€5.80,kahvit,,
,McDonalds Hämeenkatu,€9.70,ulkona syöminen,,
,S-Market Pendoliino,€5.41,ruokakauppa,,
,CM Linnainmaa,€20.86,ruokakauppa,,
,Prisma Kaleva,€8.68,ruokakauppa,,
,,,,,
8.4.-14.4 .,,,,,
,erotus,€19.56,erotus,YHT.,Vko max
8.4.,Prisma Linnainmaa,€24.18,ruokakauppa,€113.00,€100.00
9.4.,Prisma Linnainmaa,€1.71,ruokakauppa,JÄLJ.,
10.4.,Oksa Kaleva,€5.60,kahvit,-€13.00,
11.4.,Prisma Linnainmaa,€27.61,ruokakauppa,,
,Hese Linnainmaa,€3.90,kahvit,,
13.4.,ABC Pirkkala,€5.70,kahvit,,
,ABC Pirkkala,€9.92,ruokakauppa,,
14.4.,Yliopiston apteekki,€4.50,apteekki,,
,K-Market Atala,€10.32,ruokakauppa,,
,,,,,
15.-21.4.,,,,,
,erotus,€13.00,erotus,YHT.,Vko max
16.4.,Ravintola Vaski,€6.70,kahvit,€78.27,€100.00
,Ravintola Vaski,€3.95,ulkona syöminen,JÄLJ.,
,CM Linnainmaa,€6.12,ruokakauppa,€21.73,
,R-Kioski Linnainmaa,€3.30,kahvit,,
17.4.,CM Linnainmaa,€13.76,ruokakauppa,,
,R-Kioski Linnainmaa,€4.60,kahvit,,
18.4.,Kotipizza Linnainmaa,€9.40,ulkona syöminen,,
19.4.,Sale Leinola,€17.44,ruokakauppa,,
,,,,,
22.-28.4.,,,,,
,erotus,-€21.73,erotus,YHT.,Vko max
22.4.,Prisma Linnainmaa,€24.20,ruokakauppa,€91.17,€100.00
23.4.,K-Market Tammela,€3.99,ruokakauppa,JÄLJ.,
,R-Kioski Tammela,€2.00,välipala,€8.83,
25.4.,K-Market Tammela,€4.89,ruokakauppa,,
,R-Kioski Tammela,€1.75,välipala,,
,Prisma Kaleva,€16.11,ruokakauppa,,
26.4.,Kotipizza Linnainmaa,€9.40,ulkona syöminen,,
27.4.,Prisma Linnainmaa,€37.06,ruokakauppa,,
28.4.,Linnainmaan Pika Pizza,€13.50,ulkona syöminen,,
,,,,,
29.4.-5.5.,,,,,
,erotus,-€8.83,erotus,YHT.,Vko max
29.4.,Prisma Linnainmaa,€4.99,ruokakauppa,€85.35,€100.00
,Oksa Linnainmaa,€5.00,kahvit,JÄLJ.,
30.4.,Ravintola Vaski,€12.30,ulkona syöminen,€14.65,
,Fazer Cafe,€3.90,kahvit,,
,Lidl Rautatienkatu,€7.64,ruokakauppa,,
1.5.,Prisma Linnainmaa,€7.08,ruokakauppa,,
,Hese Linnainmaa,€16.00,ulkona syöminen,,
2.5.,Sokos kahvila,€9.30,kahvit,,
,Sokos,€4.90,paperitarvikkeet,,
5.5.,CM Linnainmaa,€18.87,ruokakauppa,,
,Hese Linnainmaa,€4.20,kahvit,,
