3.6.-9.6.,,,,,
,erotus,€1.99,erotus,YHT.,Vko max
,K-Market Vellamonkatu,€3.45,ruokakauppa,€79.14,€100.00
,Prisma Linnainmaa,€17.78,ruokakauppa,JÄLJ.,
4.6.,Prisma Kaleva,€16.14,ruokakauppa,€20.86,
,Oksa Kaleva,€5.60,kahvit,,
,K-Market Winterinmutka,€13.33,ruokakauppa,,
,K-Market Winterinmutka,€3.29,ruokakauppa,,
,,,,,
10.6.-16.6.,,,,,
10.6.,K-Market Winterinmutka,€17.56,ruokakauppa,YHT.,Vko max
11.6.,Ravintola Vaski,€5.10,kahvit,€126.83,€100.00
,Ravintola Vaski,€6.75,kahvit,JÄLJ.,
,NewYorker,€9.99,vaatteet,-€26.83,
,Clas Ohlson Ratina,€6.98,taloustavarat,,
,Pizpala,€2.30,välipala,,
,Rozerin Pizza & Kebab,€5.00,ulkona syöminen,,
12.6.,K-Market Winterinmutka,€17.10,ruokakauppa,,
13.6.,Sokos,€1.60,paperitarvikkeet,,
,Sokos Herkku,€22.24,ruokakauppa,,
,Jussinhannan Leipä,€3.60,kahvit,,
14.6.,K-Market Winterinmutka,€6.83,ruokakauppa,,
15.6.,Jäätelökioski Messukeskus,€3.80,välipala,,
,K-Market Winterinmutka,€9.00,ruokakauppa,,
16.6.,K-Market Winterinmutka,€8.98,ruokakauppa,,
,,,,,
17.6.-23.6.,,,,,
,erotus,€26.83,erotus,YHT.,Vko max
17.6.,Prisma Linnainmaa,€8.97,ruokakauppa,€139.17,€100.00
18.6.,K-Market Winterinmutka,€4.38,ruokakauppa,JÄLJ.,
19.6.,K-Market Winterinmutka,€3.30,ruokakauppa,-€39.17,
20.6.,K-Market Winterinmutka,€33.80,ruokakauppa,,
21.6.,Rozerin Pizza & Kebab,€8.10,ruokaa kotiin,,
,K-Market Winterinmutka,€19.65,ruokakauppa,,
22.6.,K-Market Winterinmutka,€22.93,ruokakauppa,,
23.6.,K-Market Winterinmutka,€2.58,ruokakauppa,,
,Kotipizza Pispala,€3.50,ulkona syöminen,,
,K-Market Haapalinna,€5.13,ruokakauppa,,
,,,,,
24.6.-30.6.,,,,YHT.,Vko max
,erotus,€39.17,,€83.57,€100.00
24.6.,K-Supermarket Ratina,€10.17,ruokakauppa,JÄLJ.,
,Jussinhannan Leipä,€3.60,kahvit,€16.43,
25.6.,Ravintola Vaski,€5.29,ulkona syöminen,,
,Ravintola Vaski,€2.45,ulkona syöminen,,
,Jussinhannan Leipä,€2.00,ruokakauppa,,
26.6.,Malabadi,€4.50,ulkona syöminen,,
,Prisma Kaleva,€16.39,ruokakauppa,,
